idealista_id,typology,area_in_m2,floor,region_parish,price_in_euros,seller contact,link_idealista,idealista_ad_title
31498008,T2 ,104,3º andar ,campolide,760000,215569623.0,https://www.idealista.pt/imovel/31498008/,"Apartamento T2 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497771,T1 ,65,3º andar ,campolide,520000,215569623.0,https://www.idealista.pt/imovel/31497771/,"Apartamento T1 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497763,T2 ,101,2º andar ,campolide,760000,215569623.0,https://www.idealista.pt/imovel/31497763/,"Apartamento T2 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497810,T1 ,67,3º andar ,campolide,530000,215569623.0,https://www.idealista.pt/imovel/31497810/,"Apartamento T1 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497762,T2 ,93,1º andar ,campolide,735000,215569623.0,https://www.idealista.pt/imovel/31497762/,"Apartamento T2 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497904,T2 ,106,2º andar ,campolide,735000,215569623.0,https://www.idealista.pt/imovel/31497904/,"Apartamento T2 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497756,T1 ,51,1º andar ,campolide,440000,215569623.0,https://www.idealista.pt/imovel/31497756/,"Apartamento T1 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497805,T1 ,65,1º andar ,campolide,500000,215569623.0,https://www.idealista.pt/imovel/31497805/,"Apartamento T1 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497897,T2 ,91,1º andar ,campolide,715000,215569623.0,https://www.idealista.pt/imovel/31497897/,"Apartamento T2 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497837,T2 ,92,1º andar ,campolide,700000,215569623.0,https://www.idealista.pt/imovel/31497837/,"Apartamento T2 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497997,T2 ,102,1º andar ,campolide,745000,215569623.0,https://www.idealista.pt/imovel/31497997/,"Apartamento T2 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497755,T2 ,106,3º andar ,campolide,775000,215569623.0,https://www.idealista.pt/imovel/31497755/,"Apartamento T2 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497804,T1 ,63,3º andar ,campolide,520000,215569623.0,https://www.idealista.pt/imovel/31497804/,"Apartamento T1 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497806,T1 ,67,1º andar ,campolide,500000,215569623.0,https://www.idealista.pt/imovel/31497806/,"Apartamento T1 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497766,T2 ,104,4º andar ,campolide,770000,215569623.0,https://www.idealista.pt/imovel/31497766/,"Apartamento T2 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497874,T2 ,92,2º andar ,campolide,710000,215569623.0,https://www.idealista.pt/imovel/31497874/,"Apartamento T2 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497825,T1 ,104,1º andar ,campolide,655000,215569623.0,https://www.idealista.pt/imovel/31497825/,"Apartamento T1 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497801,T1 ,67,2º andar ,campolide,510000,215569623.0,https://www.idealista.pt/imovel/31497801/,"Apartamento T1 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497811,T2 ,85,1º andar ,campolide,695000,215569623.0,https://www.idealista.pt/imovel/31497811/,"Apartamento T2 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497800,T1 ,65,3º andar ,campolide,475000,215569623.0,https://www.idealista.pt/imovel/31497800/,"Apartamento T1 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497772,T1 ,64,4º andar ,campolide,530000,215569623.0,https://www.idealista.pt/imovel/31497772/,"Apartamento T1 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497709,T3 ,212,6º andar ,campolide,1340000,215569623.0,https://www.idealista.pt/imovel/31497709/,"Apartamento T3 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497711,T0 ,45,2º andar ,campolide,350000,215569623.0,https://www.idealista.pt/imovel/31497711/,"Apartamento T0 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497700,T3 ,219,6º andar ,campolide,1315000,215569623.0,https://www.idealista.pt/imovel/31497700/,"Apartamento T3 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497711,T0 ,45,2º andar ,campolide,350000,215569623.0,https://www.idealista.pt/imovel/31497711/,"Apartamento T0 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497691,T3 ,151,7º andar ,campolide,1250000,215569623.0,https://www.idealista.pt/imovel/31497691/,"Apartamento T3 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497663,T2 ,119,6º andar ,campolide,850000,215569623.0,https://www.idealista.pt/imovel/31497663/,"Apartamento T2 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497661,T3 ,204,7º andar ,campolide,1370000,215569623.0,https://www.idealista.pt/imovel/31497661/,"Apartamento T3 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497712,T2 ,102,7º andar ,campolide,870000,215569623.0,https://www.idealista.pt/imovel/31497712/,"Apartamento T2 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31497723,T2 ,108,2º andar ,campolide,780000,215569623.0,https://www.idealista.pt/imovel/31497723/,"Apartamento T2 na rua Aviador Plácido de Abreu, 1, Centro - Nova Campolide, Campolide"
31498275,T1 ,67, ,campolide,175000,215563791.0,https://www.idealista.pt/imovel/31498275/,"Apartamento T1 em Centro - Nova Campolide, Campolide"
31496750,T2 ,61,4º andar ,campolide,299000,215554862.0,https://www.idealista.pt/imovel/31496750/,"Apartamento T2, Calçada da Quintinha, 2, Centro - Nova Campolide, Campolide"
31496546,T4 ,87,,campolide,360000,215557639.0,https://www.idealista.pt/imovel/31496546/,"Moradia geminada, Calçada dos Mestres, Centro - Nova Campolide, Campolide"
31494826,T2 ,85,,campolide,350000,215553617.0,https://www.idealista.pt/imovel/31494826/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31489119,T2 ,45,1º andar ,campolide,245000,215550736.0,https://www.idealista.pt/imovel/31489119/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
31492278,T3 ,189, ,campolide,975000,215565359.0,https://www.idealista.pt/imovel/31492278/,"Apartamento T3 em Bairro da Serafina - Bairro da Liberdade, Campolide"
31491598,T2 ,91, ,campolide,715000,215560203.0,https://www.idealista.pt/imovel/31491598/,"Apartamento T2 em Centro - Nova Campolide, Campolide"
